country,region,priority,broker_name,website,email,phone,description,ipmi_score,ipmi_verdict,source,run_date
Uruguay,LATAM,medium,International Health Insurance | APRIL International⁤,https://www.april-international.com/en,,,"Get flexible international health insurance for expats, students & ... Uruguay. Uzbekistan. Vanuatu. Venezuela (Bolivarian Republic of). Vietnam. Virgin Islands ...",95,"🟢 Strong IPMI match — APRIL International is a genuine IPMI broker that actively sells international health insurance products to expats, students, and globally mobile individuals across multiple countries including Uruguay.",SerpApi Supplementary,2026-07-13
Iceland,Small Europe,medium,‏IMG (International Medical Group)‏,https://ae.linkedin.com/company/international-medical-group?trk=ppro_cprof,,,"IMG (International Medical Group)‏ | ‏٢٦٬٦٩٨‏ من المتابعين على LinkedIn. ‏IMG, a SiriusPoint company, is an award-winning global insurance benefits and ...",92,🟢 Strong IPMI match — IMG is a well-established global insurance benefits company owned by SiriusPoint that specializes in international health insurance for expatriates and globally mobile individuals across multiple countries.,LinkedIn Search,2026-07-13
Uruguay,LATAM,medium,Uruguay Health Insurance for Expats,https://www.pacificprime.com/country/americas/uruguay-health-insurance-pacific-prime-international/,,,Recommended International Health Insurance Plans for Expatriates Living in Uruguay · Allianz Care Health Insurance · Cigna Global Insurance Plan.,92,"🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker that actively sells international health insurance plans (Allianz Care, Cigna Global) to expatriates in Uruguay and other countries globally.",SerpApi Supplementary,2026-07-13
Ecuador,LATAM,medium,International Health Insurance for Expats in Ecuador,https://www.pacificprime.com/country/americas/ecuador-health-insurance-pacific-prime-international/,,,"Expats in Ecuador can choose from three tiers of coverage for their international health insurance plans: Care, Care Plus, and Care Pro. Allianz logo. World- ...",92,"🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker offering tiered international health insurance plans specifically designed for expatriates in Ecuador, with partnerships including Allianz.",SerpApi Supplementary,2026-07-13
Ecuador,LATAM,medium,Health Insurance in Ecuador,https://www.now-health.com/en/countries-we-cover/ecuador/,,,"International Health Insurance - Now Health. GET A QUOTE. FOR INDIVIDUALS & FAMILIES · FOR BROKERS ... As an expat living in Ecuador, your social security ...",92,🟢 Strong IPMI match — Now Health is an established IPMI provider that actively sells international health insurance to expatriates and globally mobile individuals across multiple countries including Ecuador.,SerpApi Supplementary,2026-07-13
Honduras,LATAM,low,International Health Insurance for Expats in Honduras,https://www.pacificprime.com/country/americas/honduras-health-insurance-pacific-prime-international/,,,"One of the largest international health insurance providers on the market today, Allianz Care, offers expats in Honduras comprehensive and customizable coverage ...",92,🟢 Strong IPMI match — Pacific Prime is a recognized international health insurance broker that actively sells and distributes IPMI products (including Allianz Care) to expatriates and globally mobile individuals across multiple countries including Honduras.,SerpApi Supplementary,2026-07-13
El Salvador,LATAM,low,Mejor seguro de salud internacional en El Salvador,https://www.pacificprime.lat/es/country/el-salvador-health-insurance/,,,"Seguro de salud internacional: diseñado para brindar cobertura no solo en El Salvador, sino también en casi cualquier otro país del mundo. ¿Qué tipo de seguro ...",92,"🟢 Strong IPMI match — Pacific Prime is a recognized IPMI broker offering international health insurance coverage across multiple countries including El Salvador, serving expatriates and globally mobile individuals.",SerpApi Supplementary,2026-07-13
Global,Global,medium,AXA Partners US,/axa-partners-us,,,Listed in iPMI Global industry directory,85,🟢 Strong IPMI match — AXA Partners US is a subsidiary of AXA Group that actively distributes international health insurance and IPMI products to expatriates and globally mobile individuals through brokers and corporate clients.,iPMI Global Directory,2026-07-13
Global,Global,medium,Cigna Healthcare,/cigna-healthcare,,,Listed in iPMI Global industry directory,85,🟢 Strong IPMI match — Cigna is a global health insurance provider that actively sells international private medical insurance and expat health coverage to multinational organizations and globally mobile individuals across numerous countries.,iPMI Global Directory,2026-07-13
Global,Global,medium,Global Excel,/global-excel,,,Listed in iPMI Global industry directory,85,🟢 Strong IPMI match — Global Excel is a recognized international health insurance broker that actively distributes IPMI products to expatriates and globally mobile individuals across multiple jurisdictions.,iPMI Global Directory,2026-07-13
